id,store_id,title,purchase_url,price,gluten_free_tag,high_protein_tag,sugar_free_tag,vegan_tag,ketogenic_tag,flavor
100,28,💖 비건빵빵이네 빵 택배 마켓 💖,https://smartstore.naver.com/bbang_vegan/products/7763736400,7200,1.0,0.0,0.0,1.0,0.0,"한정수량) 흑임자 꾸먹콘 (+2,300원) 납작이) 얼그레이 초코칩스콘키 (-2,700원) 납작이) 트리플 초코 스콘키 (-2,300원) 납작이) 순수 말차 스콘키 (-1,600원) 납작이) 말차 킷캣 스콘키 (-2,100원) 납작이) 카라멜 팝콘 스콘키 (-2,000원) 납작이) 논초 솔티드 스콘키 (-2,600원) NEW)얼그레이 초코칩 스콘키 (-2,700원) 트리플 초코 스콘키 (-2,300원) 카라멜 팝콘 스콘키 (-2,000원) 말차 킷캣 스콘키 (-2,100원) NEW)블랙 저당 크럼블 (-3,400원) 대용량)블랙 저당 크럼블 (+400원) NEW) 야채 크래커맛 저당 크럼블 (-3,000원) 대용량) 야채 크래커맛 저당 크럼블 (+800원) 저당 크럼블(플레인) (-3,200원) 대용량) 저당 크럼블(플레인) (+800원) 1. 플레인 - 호두과자 찹쌀파이 (-2,900원) 2. 쑥 - 호두과자 찹쌀파이 (-2,800원) 3. 흑임자 - 호두과자 찹쌀파이 (-2,800원) 4. 인절미 - 호두과자 찹쌀파이 (-2,700원) 5. 쑥절미 - 호두과자 찹쌀파이 (-2,700원) 1. 플레인 - 논넛츠 찹쌀파이 (-3,000원) 2. 쑥 - 논넛츠 찹쌀파이 (-2,900원) 3. 흑임자 - 논넛츠 찹쌀파이 (-2,900원) 4. 인절미- 논넛츠 찹쌀파이 (-2,800원) 5. 쑥절미 - 논넛츠 찹쌀파이 (-2,800원)"
101,22,[포포브레드] 스콘 3종 / 쌀 디저트 글루텐프리 노밀가루 비건 베이커리,https://smartstore.naver.com/forfourbread/products/5268965054,4000,1.0,0.0,0.0,1.0,0.0,포포 스콘 쑥떡 스콘 (+300원)
102,11,순수 알룰로스 분말 100% 0Kcal 대체 감미료,https://smartstore.naver.com/ketopantry/products/8814097738,9800,0.0,0.0,1.0,1.0,1.0,알룰로스 100% 분말 350g
103,7,"그림의빵 저당 고단백 라즈베리 초코 그낭시에 8입, 당뇨와건강몰입점 디저트 휘낭시에",https://smartstore.naver.com/grimmsbread/products/7323606465,32600,0.0,0.5,0.5,0.0,0.0,구성1 구성2 라즈베리 초코 그낭시에 4개 패션코코넛 그낭시에 4개
104,18,초코 브라우니 쿠키 비건디저트 꾸덕바 무설탕 글루텐프리,https://smartstore.naver.com/vegandaum/products/5618022106,3000,1.0,0.0,0.0,1.0,0.0,비건&글루텐프리&무설탕 초코 꾸덕바 초코 촉촉바(호두) (+100원)
105,29,에이사 비건 버터 꾸덕바 버터바 글루텐프리 약과버터바 말차버터바 저오일 저당 저칼로리,https://smartstore.naver.com/asa_veganclass/products/6147490742,4800,0.6666666666666666,0.0,0.0,0.0,0.0,"비건 버터꾸덕바 얼그레이 밀크티 약과 콤보 (+200원) 딥말차 오레오 보늬밤 & 호지차 (+1,000원) 피스타치오 (+200원)"
106,12,비정제원당으로 만든 쌀 수제쿠키 선물세트 비건 당뇨간식,https://smartstore.naver.com/dearmyqueen1553/products/8933834196,10000,1.0,0.0,0.0,1.0,0.0,쑥팥 얼그레이 무화과 오렌지 유자 헤이즐넛 커피 살구&코코넛 카라멜 넛츠 발로나초코 라즈베리
107,23,메종드비건 그래놀라,https://smartstore.naver.com/maison_de_vegan/products/5500901251,22000,1.0,0.0,0.0,1.0,0.0,"솔트캬라멜小(220g) (-10,000원) 솔트캬라멜大(660g) (+11,000원) 피넛버터그래놀라小(220g) (-10,000원) 피넛버터그래놀라大(660g) (+11,000원) 트로피칼캬라멜그래놀라小(220g) (-10,000원) 트로피칼캬라멜그래놀라大(660g) (+11,000원) 그래놀라小x2 선물세트 (+3,000원) 플레인그래놀라小(220g) (-10,000원) 플레인그래놀라大(660g) (+11,000원) 에스프레소그래놀라小(220g) (-10,000원) 에스프레소그래놀라大(660g) (+11,000원) 쑥무화과그래놀라小(220g) (-10,000원) 쑥무화과그래놀라大(660g) (+11,000원) 얼그레이그래놀라小(220g) (-10,000원) 얼그레이그래놀라大(660g) (+11,000원) 쇼콜라그래놀라小(220g) (-10,000원) 쇼콜라그래놀라大(660g) (+11,000원) 인절미그래놀라小(220g) (-10,000원) 인절미그래놀라大(660g) (+11,000원)"
108,6,[더브레드블루 생크림 비건케이크 1호] 순식물성 생일 케이크 디저트(No 우유계란버터),https://smartstore.naver.com/thebreadblue/products/10707546419,37000,0.0,0.0,0.0,1.0,0.0,필수상품 없음
109,6,[통밀 어니언 베이글] 더브레드블루 비건빵 건강빵 건강간식 저요오드식,https://smartstore.naver.com/thebreadblue/products/10638031009,6000,0.0,0.0,0.0,1.0,1.0,필수상품 없음
